CÓDIGO,DENOMINAÇÃO ATIVIDADE,ATÉ 200 M²,200M² A 400M²,ACIMA DE 400M²
22.29-3-02,Fabricação de artefatos de material plástico para usos industriais,Médio,Alto,Alto
22.29-3-03,"Fabricação de artefatos de material plástico para uso na construção, exceto tubos e acessórios",Médio,Alto,Alto
22.29-3-99,Fabricação de artefatos de material plástico para outros usos não especificados anteriormente,Médio,Alto,Alto
23.11-7-00,Fabricação de vidro plano e de segurança,Médio,Alto,Alto
23.12-5-00,Fabricação de embalagens de vidro,Médio,Alto,Alto
23.19-2-00,Fabricação de artigos de vidro,Médio,Alto,Alto
23.20-6-00,Fabricação de cimento,Alto,Alto,Alto
23.30-3-01,"Fabricação de estruturas pré-moldadas de concreto armado, em série e sob encomenda",Médio,Alto,Alto
23.30-3-02,Fabricação de artefatos de cimento para uso na construção,Médio,Alto,Alto
23.30-3-03,Fabricação de artefatos de fibrocimento para uso na construção,Médio,Alto,Alto
23.30-3-04,Fabricação de casas pré-moldadas de concreto,Médio,Alto,Alto
23.30-3-05,Preparação de massa de concreto e argamassa para construção,Médio,Alto,Alto
23.30-3-99,"Fabricação de outros artefatos e produtos de concreto, cimento, fibrocimento, gesso e materiais semelhantes",Médio,Alto,Alto
23.41-9-00,Fabricação de produtos cerâmicos refratários,Médio,Alto,Alto
23.42-7-01,Fabricação de azulejos e pisos,Médio,Alto,Alto
23.42-7-02,"Fabricação de artefatos de cerâmica e barro cozido para uso na construção, exceto azulejos e pisos",Médio,Alto,Alto
23.49-4-01,Fabricação de material sanitário de cerâmica,Médio,Alto,Alto
23.49-4-99,Fabricação de produtos cerâmicos não refratários não especificados anteriormente,Médio,Alto,Alto
23.91-5-01,"Britamento de pedras, exceto associado à extração",Alto,Alto,Alto
23.91-5-02,"Aparelhamento de pedras para construção, exceto associado à extração",Alto,Alto,Alto
23.91-5-03,"Aparelhamento de placas e execução de trabalhos em mármore, granito, ardósia e outras pedras",Alto,Alto,Alto
23.92-3-00,Fabricação de cal e gesso,Alto,Alto,Alto
23.99-1-01,"Decoração, lapidação, gravação, vitrificação e outros trabalhos em cerâmica, louça, vidro e cristal",Baixo,Médio,Alto
23.99-1-02,Fabricação de abrasivos,Alto,Alto,Alto
23.99-1-99,Fabricação de outros produtos de minerais não metálicos não especificados anteriormente,Alto,Alto,Alto
24.11-3-00,Produção de ferro-gusa,Alto,Alto,Alto
24.12-1-00,Produção de ferroligas,Alto,Alto,Alto
24.21-1-00,Produção de semiacabados de aço,Alto,Alto,Alto
24.22-9-01,"Produção de laminados planos de aço ao carbono, revestidos ou não",Alto,Alto,Alto
24.22-9-02,Produção de laminados planos de aços especiais,Alto,Alto,Alto
24.23-7-01,Produção de tubos de aço sem costura,Alto,Alto,Alto
24.23-7-02,"Produção de laminados longos de aço, exceto tubos",Alto,Alto,Alto
24.24-5-01,Produção de arames de aço,Alto,Alto,Alto
24.24-5-02,"Produção de relaminados, trefilados e perfilados de aço, exceto arames",Alto,Alto,Alto
24.31-8-00,Produção de tubos de aço com costura,Alto,Alto,Alto
24.39-3-00,Produção de outros tubos de ferro e aço,Alto,Alto,Alto
24.41-5-01,Produção de alumínio e suas ligas em formas primárias,Alto,Alto,Alto
24.41-5-02,Produção de laminados de alumínio,Alto,Alto,Alto
24.42-3-00,Metalurgia dos metais preciosos,Alto,Alto,Alto
24.43-1-00,Metalurgia do cobre,Alto,Alto,Alto
24.49-1-01,Produção de zinco em formas primárias,Alto,Alto,Alto
24.49-1-02,Produção de laminados de zinco,Alto,Alto,Alto
24.49-1-03,Fabricação de ânodos para galvanoplastia,Alto,Alto,Alto
24.49-1-99,Metalurgia de outros metais não ferrosos e suas ligas não especificados anteriormente,Alto,Alto,Alto
24.51-2-00,Fundição de ferro e aço,Alto,Alto,Alto
24.52-1-00,Fundição de metais não ferrosos e suas ligas,Alto,Alto,Alto
25.11-0-00,Fabricação de estruturas metálicas,Médio,Alto,Alto
25.12-8-00,Fabricação de esquadrias de metal,Médio,Alto,Alto
25.13-6-00,Fabricação de obras de caldeiraria pesada,Médio,Alto,Alto
25.21-7-00,"Fabricação de tanques, reservatórios metálicos e caldeiras para aquecimento central",Médio,Alto,Alto
25.22-5-00,"Fabricação de caldeiras geradoras de vapor, exceto para aquecimento central e para veículos",Médio,Alto,Alto
25.31-4-01,Produção de forjados de aço,Médio,Alto,Alto
25.31-4-02,Produção de forjados de metais não ferrosos e suas ligas,Médio,Alto,Alto
25.32-2-01,Produção de artefatos estampados de metal,Médio,Alto,Alto
25.32-2-02,Metalurgia do pó,Médio,Alto,Alto
25.39-0-01,"Serviços de usinagem, torneiria e solda",Médio,Médio,Alto
25.39-0-02,Serviços de tratamento e revestimento em metais,Alto,Médio,Alto
25.41-1-00,Fabricação de artigos de cutelaria,Médio,Alto,Alto
25.42-0-00,"Fabricação de artigos de serralheria, exceto esquadrias",Médio,Alto,Alto
25.43-8-00,Fabricação de ferramentas,Médio,Alto,Alto
25.50-1-01,"Fabricação de equipamento bélico pesado, exceto veículos militares de combate",Alto,Alto,Alto
25.50-1-02,"Fabricação de armas de fogo, outras armas e munições",Alto,Alto,Alto
25.91-8-00,Fabricação de embalagens metálicas,Médio,Alto,Alto
25.92-6-01,Fabricação de produtos de trefilados de metal padronizados,Médio,Alto,Alto
25.92-6-02,"Fabricação de produtos de trefilados de metal, exceto padronizados",Médio,Alto,Alto
25.93-4-00,Fabricação de artigos de metal para uso doméstico e pessoal,Médio,Alto,Alto
25.99-3-01,Serviços de confecção de armações metálicas para a construção,Médio,Médio,Alto
25.99-3-02,Serviço de corte e dobra de metais,Médio,Médio,Alto
25.99-3-99,Fabricação de outros produtos de metal não especificados anteriormente,Médio,Alto,Alto
26.10-8-00,Fabricação de componentes eletrônicos,Médio,Alto,Alto
26.21-3-00,Fabricação de equipamentos de informática,Médio,Alto,Alto
26.22-1-00,Fabricação de periféricos para equipamentos de informática,Médio,Alto,Alto
26.31-1-00,"Fabricação de equipamentos transmissores de comunicação, peças e acessórios",Médio,Alto,Alto
26.32-9-00,"Fabricação de aparelhos telefônicos e de outros equipamentos de comunicação, peças e acessórios",Médio,Alto,Alto
26.40-0-00,"Fabricação de aparelhos de recepção, reprodução, gravação e amplificação de áudio e vídeo",Médio,Alto,Alto
26.51-5-00,"Fabricação de aparelhos e equipamentos de medida, teste e controle",Médio,Alto,Alto
26.52-3-00,Fabricação de cronômetros e relógios,Médio,Alto,Alto
26.60-4-00,Fabricação de aparelhos eletromédicos e eletroterapêuticos e equipamentos de irradiação,Alto,Alto,Alto
26.70-1-01,"Fabricação de equipamentos e instrumentos ópticos, peças e acessórios",Médio,Alto,Alto
26.70-1-02,"Fabricação de aparelhos fotográficos e cinematográficos, peças e acessórios",Médio,Alto,Alto
26.80-9-00,"Fabricação de mídias virgens, magnéticas e ópticas",Médio,Alto,Alto
27.10-4-01,"Fabricação de geradores de corrente contínua e alternada, peças e acessórios",Médio,Alto,Alto
27.10-4-02,"Fabricação de transformadores, indutores, conversores, sincronizadores e semelhantes, peças e acessórios",Médio,Alto,Alto
27.10-4-03,"Fabricação de motores elétricos, peças e acessórios",Médio,Alto,Alto
27.21-0-00,"Fabricação de pilhas, baterias e acumuladores elétricos, exceto para veículos automotores",Alto,Alto,Alto
27.22-8-01,Fabricação de baterias e acumuladores para veículos automotores,Alto,Alto,Alto
27.22-8-02,Recondicionamento de baterias e acumuladores para veículos automotores,Alto,Alto,Alto
27.31-7-00,Fabricação de aparelhos e equipamentos para distribuição e controle de energia elétrica,Médio,Alto,Alto
27.32-5-00,Fabricação de material elétrico para instalações em circuito de consumo,Médio,Alto,Alto
27.33-3-00,"Fabricação de fios, cabos e condutores elétricos isolados",Médio,Alto,Alto
27.40-6-01,Fabricação de lâmpadas,Médio,Alto,Alto
27.40-6-02,Fabricação de luminárias e outros equipamentos de iluminação,Médio,Alto,Alto
27.51-1-00,"Fabricação de fogões, refrigeradores e máquinas de lavar e secar para uso doméstico, peças e acessórios",Médio,Alto,Alto
27.59-7-01,"Fabricação de aparelhos elétricos de uso pessoal, peças e acessórios",Médio,Alto,Alto
27.59-7-99,"Fabricação de outros aparelhos eletrodomésticos não especificados anteriormente, peças e acessórios",Médio,Alto,Alto
27.90-2-01,"Fabricação de eletrodos, contatos e outros artigos de carvão e grafita para uso elétrico, eletroímãs e isoladores",Médio,Alto,Alto
27.90-2-02,Fabricação de equipamentos para sinalização e alarme,Médio,Alto,Alto
27.90-2-99,Fabricação de outros equipamentos e aparelhos elétricos não especificados anteriormente,Médio,Alto,Alto
28.11-9-00,"Fabricação de motores e turbinas, peças e acessórios, exceto para aviões e veículos rodoviários",Médio,Alto,Alto
28.12-7-00,"Fabricação de equipamentos hidráulicos e pneumáticos, peças e acessórios, exceto válvulas",Médio,Alto,Alto
28.13-5-00,"Fabricação de válvulas, registros e dispositivos semelhantes, peças e acessórios",Médio,Alto,Alto
28.14-3-01,"Fabricação de compressores para uso industrial, peças e acessórios",Médio,Alto,Alto
28.14-3-02,"Fabricação de compressores para uso não industrial, peças e acessórios",Médio,Alto,Alto
28.15-1-01,Fabricação de rolamentos para fins industriais,Médio,Alto,Alto
28.15-1-02,"Fabricação de equipamentos de transmissão para fins industriais, exceto rolamentos",Médio,Alto,Alto
28.21-6-01,"Fabricação de fornos industriais, aparelhos e equipamentos não elétricos para instalações térmicas, peças e acessórios",Médio,Alto,Alto
28.21-6-02,"Fabricação de estufas e fornos elétricos para fins industriais, peças e acessórios",Médio,Alto,Alto
28.22-4-01,"Fabricação de máquinas, equipamentos e aparelhos para transporte e elevação de pessoas, peças e acessórios",Médio,Alto,Alto
28.22-4-02,"Fabricação de máquinas, equipamentos e aparelhos para transporte e elevação de cargas, peças e acessórios",Médio,Alto,Alto
28.23-2-00,"Fabricação de máquinas e aparelhos de refrigeração e ventilação para uso industrial e comercial, peças e acessórios",Médio,Alto,Alto
28.24-1-01,Fabricação de aparelhos e equipamentos de ar condicionado para uso industrial,Médio,Alto,Alto
28.24-1-02,Fabricação de aparelhos e equipamentos de ar condicionado para uso não industrial,Médio,Alto,Alto
28.25-9-00,"Fabricação de máquinas e equipamentos para saneamento básico e ambiental, peças e acessórios",Médio,Alto,Alto
28.29-1-01,"Fabricação de máquinas de escrever, calcular e outros equipamentos não eletrônicos para escritório, peças e acessórios",Médio,Alto,Alto
28.29-1-99,"Fabricação de outras máquinas e equipamentos de uso geral não especificados anteriormente, peças e acessórios",Médio,Alto,Alto
28.31-3-00,"Fabricação de tratores agrícolas, peças e acessórios",Médio,Alto,Alto
28.32-1-00,"Fabricação de equipamentos para irrigação agrícola, peças e acessórios",Médio,Alto,Alto
28.33-0-00,"Fabricação de máquinas e equipamentos para a agricultura e pecuária, peças e acessórios, exceto para irrigação",Médio,Alto,Alto
28.40-2-00,"Fabricação de máquinas-ferramenta, peças e acessórios",Médio,Alto,Alto
28.51-8-00,"Fabricação de máquinas e equipamentos para a prospecção e extração de petróleo, peças e acessórios",Médio,Alto,Alto
28.52-6-00,"Fabricação de outras máquinas e equipamentos para uso na extração mineral, peças e acessórios, exceto na extração de petróleo",Médio,Alto,Alto
28.53-4-00,"Fabricação de tratores, peças e acessórios, exceto agrícolas",Médio,Alto,Alto
28.54-2-00,"Fabricação de máquinas e equipamentos para terraplenagem, pavimentação e construção, peças e acessórios, exceto tratores",Médio,Alto,Alto
28.61-5-00,"Fabricação de máquinas para a indústria metalúrgica, peças e acessórios, exceto máquinas-ferramenta",Médio,Alto,Alto
28.62-3-00,"Fabricação de máquinas e equipamentos para as indústrias de alimentos, bebidas e fumo, peças e acessórios",Médio,Alto,Alto
28.63-1-00,"Fabricação de máquinas e equipamentos para a indústria têxtil, peças e acessórios",Médio,Alto,Alto
28.64-0-00,"Fabricação de máquinas e equipamentos para as indústrias do vestuário, do couro e de calçados, peças e acessórios",Médio,Alto,Alto
28.65-8-00,"Fabricação de máquinas e equipamentos para as indústrias de celulose, papel e papelão e artefatos, peças e acessórios",Médio,Alto,Alto
28.66-6-00,"Fabricação de máquinas e equipamentos para a indústria do plástico, peças e acessórios",Médio,Alto,Alto
28.69-1-00,"Fabricação de máquinas e equipamentos para uso industrial específico não especificados anteriormente, peças e acessórios",Médio,Alto,Alto
29.10-7-01,"Fabricação de automóveis, camionetas e utilitários",Médio,Alto,Alto
29.10-7-02,"Fabricação de chassis com motor para automóveis, camionetas e utilitários",Médio,Alto,Alto
29.10-7-03,"Fabricação de motores para automóveis, camionetas e utilitários",Médio,Alto,Alto
29.20-4-01,Fabricação de caminhões e ônibus,Médio,Alto,Alto
29.20-4-02,Fabricação de motores para caminhões e ônibus,Médio,Alto,Alto
29.30-1-01,"Fabricação de cabines, carrocerias e reboques para caminhões",Médio,Alto,Alto
29.30-1-02,Fabricação de carrocerias para ônibus,Médio,Alto,Alto
29.30-1-03,"Fabricação de cabines, carrocerias e reboques para outros veículos automotores, exceto caminhões e ônibus",Médio,Alto,Alto
29.41-7-00,Fabricação de peças e acessórios para o sistema motor de veículos automotores,Médio,Alto,Alto
29.42-5-00,Fabricação de peças e acessórios para os sistemas de marcha e transmissão de veículos automotores,Médio,Alto,Alto
29.43-3-00,Fabricação de peças e acessórios para o sistema de freios de veículos automotores,Médio,Alto,Alto
29.44-1-00,Fabricação de peças e acessórios para o sistema de direção e suspensão de veículos automotores,Médio,Alto,Alto
29.45-0-00,"Fabricação de material elétrico e eletrônico para veículos automotores, exceto baterias",Médio,Alto,Alto
29.49-2-01,Fabricação de bancos e estofados para veículos automotores,Médio,Alto,Alto
29.49-2-99,Fabricação de outras peças e acessórios para veículos automotores não especificadas anteriormente,Médio,Alto,Alto
29.50-6-00,Recondicionamento e recuperação de motores para veículos automotores,Médio,Médio,Alto
30.11-3-01,Construção de embarcações de grande porte,Médio,Alto,Alto
30.11-3-02,"Construção de embarcações para uso comercial e para usos especiais, exceto de grande porte",Médio,Alto,Alto
30.12-1-00,Construção de embarcações para esporte e lazer,Médio,Alto,Alto
30.31-8-00,"Fabricação de locomotivas, vagões e outros materiais rodantes",Médio,Alto,Alto
30.32-6-00,Fabricação de peças e acessórios para veículos ferroviários,Médio,Alto,Alto
30.41-5-00,Fabricação de aeronaves,Médio,Alto,Alto
30.42-3-00,"Fabricação de turbinas, motores e outros componentes e peças para aeronaves",Médio,Alto,Alto
30.50-4-00,Fabricação de veículos militares de combate,Médio,Alto,Alto
30.91-1-01,Fabricação de motocicletas,Médio,Alto,Alto
30.91-1-02,Fabricação de peças e acessórios para motocicletas,Médio,Alto,Alto
30.92-0-00,"Fabricação de bicicletas e triciclos não motorizados, peças e acessórios",Médio,Alto,Alto
30.99-7-00,Fabricação de equipamentos de transporte não especificados anteriormente,Médio,Alto,Alto
31.01-2-00,Fabricação de móveis com predominância de madeira,Médio,Alto,Alto
31.02-1-00,Fabricação de móveis com predominância de metal,Médio,Alto,Alto
31.03-9-00,"Fabricação de móveis de outros materiais, exceto madeira e metal",Médio,Alto,Alto
31.04-7-00,Fabricação de colchões,Médio,Alto,Alto
32.11-6-01,Lapidação de gemas,Baixo,Médio,Alto
32.11-6-02,Fabricação de artefatos de joalheria e ourivesaria,Baixo,Alto,Alto
32.11-6-03,Cunhagem de moedas e medalhas,Baixo,Médio,Alto
32.12-4-00,Fabricação de bijuterias e artefatos semelhantes,Baixo,Alto,Alto
32.20-5-00,"Fabricação de instrumentos musicais, peças e acessórios",Médio,Alto,Alto
32.30-2-00,Fabricação de artefatos para pesca e esporte,Médio,Alto,Alto
32.40-0-01,Fabricação de jogos eletrônicos,Baixo,Alto,Alto
32.40-0-02,"Fabricação de mesas de bilhar, de sinuca e acessórios não associada à locação",Médio,Alto,Alto
32.40-0-03,"Fabricação de mesas de bilhar, de sinuca e acessórios associada à locação",Médio,Alto,Alto
32.40-0-99,Fabricação de outros brinquedos e jogos recreativos não especificados anteriormente,Médio,Alto,Alto
32.50-7-01,"Fabricação de instrumentos não eletrônicos e utensílios para uso médico, cirúrgico, odontológico e de laboratório",Médio,Alto,Alto
32.50-7-02,"Fabricação de mobiliário para uso médico, cirúrgico, odontológico e de laboratório",Médio,Alto,Alto
32.50-7-03,Fabricação de aparelhos e utensílios para correção de defeitos físicos e aparelhos ortopédicos em geral sob encomenda,Médio,Alto,Alto
32.50-7-04,"Fabricação de aparelhos e utensílios para correção de defeitos físicos e aparelhos ortopédicos em geral, exceto sob encomenda",Médio,Alto,Alto
32.50-7-05,Fabricação de materiais para medicina e odontologia,Médio,Alto,Alto
32.50-7-06,Serviços de prótese dentária,Baixo,Médio,Médio
32.50-7-07,Fabricação de artigos ópticos,Médio,Alto,Alto
32.50-7-09,Serviço de laboratório óptico,Baixo,Médio,Médio
32.91-4-00,"Fabricação de escovas, pincéis e vassouras",Médio,Alto,Alto
32.92-2-01,Fabricação de roupas de proteção e segurança e resistentes a fogo,Médio,Alto,Alto
32.92-2-02,Fabricação de equipamentos e acessórios para segurança pessoal e profissional,Médio,Alto,Alto
32.99-0-01,Fabricação de guarda-chuvas e similares,Médio,Alto,Alto
32.99-0-02,"Fabricação de canetas, lápis e outros artigos para escritório",Médio,Alto,Alto
32.99-0-03,"Fabricação de letras, letreiros e placas de qualquer material, exceto luminosos",Médio,Alto,Alto
32.99-0-04,Fabricação de painéis e letreiros luminosos,Médio,Alto,Alto
32.99-0-05,Fabricação de aviamentos para costura,Médio,Alto,Alto
32.99-0-06,"Fabricação de velas, inclusive decorativas",Médio,Alto,Alto
32.99-0-99,Fabricação de produtos diversos não especificados anteriormente,Médio,Alto,Alto
33.11-2-00,"Manutenção e reparação de tanques, reservatórios metálicos e caldeiras, exceto para veículos",Médio,Médio,Alto
33.12-1-02,"Manutenção e reparação de aparelhos e instrumentos de medida, teste e controle",Baixo,Médio,Alto
33.12-1-03,Manutenção e reparação de aparelhos eletromédicos e eletroterapêuticos e equipamentos de irradiação,Alto,Alto,Alto
33.12-1-04,Manutenção e reparação de equipamentos e instrumentos ópticos,Baixo,Médio,Alto
33.13-9-01,"Manutenção e reparação de geradores, transformadores e motores elétricos",Baixo,Médio,Alto
33.13-9-02,"Manutenção e reparação de baterias e acumuladores elétricos, exceto para veículos",Médio,Médio,Alto
33.13-9-99,"Manutenção e reparação de máquinas, aparelhos e materiais elétricos não especificados anteriormente",Baixo,Médio,Alto
33.14-7-01,Manutenção e reparação de máquinas motrizes não elétricas,Baixo,Médio,Alto
33.14-7-02,"Manutenção e reparação de equipamentos hidráulicos e pneumáticos, exceto válvulas",Baixo,Médio,Alto
33.14-7-03,Manutenção e reparação de válvulas industriais,Baixo,Médio,Alto
33.14-7-04,Manutenção e reparação de compressores,Baixo,Médio,Alto
33.14-7-05,Manutenção e reparação de equipamentos de transmissão para fins industriais,Médio,Médio,Alto
33.14-7-06,"Manutenção e reparação de máquinas, aparelhos e equipamentos para instalações térmicas",Médio,Médio,Alto
33.14-7-07,Manutenção e reparação de máquinas e aparelhos de refrigeração e ventilação para uso industrial e comercial,Médio,Médio,Alto
33.14-7-08,"Manutenção e reparação de máquinas, equipamentos e aparelhos para transporte e elevação de cargas",Médio,Médio,Alto
33.14-7-09,"Manutenção e reparação de máquinas de escrever, calcular e de outros equipamentos não eletrônicos para escritório",Baixo,Médio,Alto
33.14-7-10,Manutenção e reparação de máquinas e equipamentos para uso geral não especificados anteriormente,Médio,Médio,Alto
33.14-7-11,Manutenção e reparação de máquinas e equipamentos para agricultura e pecuária,Médio,Médio,Alto
33.14-7-12,Manutenção e reparação de tratores agrícolas,Alto,Alto,Alto
33.14-7-13,Manutenção e reparação de máquinas-ferramenta,Médio,Médio,Alto
33.14-7-14,Manutenção e reparação de máquinas e equipamentos para a prospecção e extração de petróleo,Médio,Médio,Alto
33.14-7-15,"Manutenção e reparação de máquinas e equipamentos para uso na extração mineral, exceto na extração de petróleo",Médio,Médio,Alto
33.14-7-16,"Manutenção e reparação de tratores, exceto agrícolas",Alto,Alto,Alto
33.14-7-17,"Manutenção e reparação de máquinas e equipamentos de terraplenagem, pavimentação e construção, exceto tratores",Médio,Médio,Alto
33.14-7-18,"Manutenção e reparação de máquinas para a indústria metalúrgica, exceto máquinas-ferramenta",Médio,Médio,Alto
33.14-7-19,"Manutenção e reparação de máquinas e equipamentos para as indústrias de alimentos, bebidas e fumo",Médio,Médio,Alto
33.14-7-20,"Manutenção e reparação de máquinas e equipamentos para a indústria têxtil, do vestuário, do couro e calçados",Médio,Médio,Alto
33.14-7-21,"Manutenção e reparação de máquinas e aparelhos para a indústria de celulose, papel e papelão e artefatos",Médio,Médio,Alto
33.14-7-22,Manutenção e reparação de máquinas e aparelhos para a indústria do plástico,Médio,Médio,Alto
33.14-7-99,Manutenção e reparação de outras máquinas e equipamentos para usos industriais não especificados anteriormente,Médio,Médio,Alto
33.15-5-00,Manutenção e reparação de veículos ferroviários,Alto,Alto,Alto
33.16-3-01,"Manutenção e reparação de aeronaves, exceto a manutenção na pista",Alto,Alto,Alto
33.16-3-02,Manutenção de aeronaves na pista,Alto,Alto,Alto
33.17-1-01,Manutenção e reparação de embarcações e estruturas flutuantes,Alto,Alto,Alto
33.17-1-02,Manutenção e reparação de embarcações para esporte e lazer,Alto,Alto,Alto
33.19-8-00,Manutenção e reparação de equipamentos e produtos não especificados anteriormente,Médio,Médio,Alto
33.21-0-00,Instalação de máquinas e equipamentos industriais,Baixo,Médio,Alto
33.29-5-01,Serviços de montagem de móveis de qualquer material,Baixo,Médio,Alto
33.29-5-99,Instalação de outros equipamentos não especificados anteriormente,Baixo,Médio,Alto
35.11-5-01,Geração de energia elétrica,Baixo,Médio,Alto
35.11-5-02,Atividades de coordenação e controle da operação da geração e transmissão de energia elétrica,Baixo,Médio,Alto
35.12-3-00,Transmissão de energia elétrica,Baixo,Médio,Alto
35.13-1-00,Comércio atacadista de energia elétrica,Médio,Médio,Alto
35.14-0-00,Distribuição de energia elétrica,Baixo,Médio,Alto
35.20-4-01,Produção de gás; processamento de gás natural,Alto,Alto,Alto
35.20-4-02,Distribuição de combustíveis gasosos por redes urbanas,Alto,Alto,Alto
35.30-1-00,"Produção e distribuição de vapor, água quente e ar condicionado",Médio,Médio,Alto
36.00-6-01,"Captação, tratamento e distribuição de água",Alto,Alto,Alto
36.00-6-02,Distribuição de água por caminhões,Baixo,Médio,Alto
37.01-1-00,Gestão de redes de esgoto,Médio,Médio,Alto
37.02-9-00,"Atividades relacionadas a esgoto, exceto a gestão de redes",Baixo,Médio,Alto
38.11-4-00,Coleta de resíduos não perigosos,Alto,Alto,Alto
38.12-2-00,Coleta de resíduos perigosos,Alto,Alto,Alto
38.21-1-00,Tratamento e disposição de resíduos não perigosos,Alto,Alto,Alto
38.22-0-00,Tratamento e disposição de resíduos perigosos,Alto,Alto,Alto
38.31-9-01,Recuperação de sucatas de alumínio,Alto,Alto,Alto
38.31-9-99,"Recuperação de materiais metálicos, exceto alumínio",Alto,Alto,Alto
38.32-7-00,Recuperação de materiais plásticos,Alto,Alto,Alto
38.39-4-01,Usinas de compostagem,Alto,Alto,Alto
38.39-4-99,Recuperação de materiais não especificados anteriormente,Alto,Alto,Alto
39.00-5-00,Descontaminação e outros serviços de gestão de resíduos,Alto,Alto,Alto
41.10-7-00,Incorporação de empreendimentos imobiliários,Baixo,Médio,Alto
41.20-4-00,Construção de edifícios,Baixo,Médio,Alto
42.11-1-01,Construção de rodovias e ferrovias,Baixo,Médio,Alto
42.11-1-02,Pintura para sinalização em pistas rodoviárias e aeroportos,Baixo,Médio,Alto
42.12-0-00,Construção de obras de arte especiais,Baixo,Médio,Alto
42.13-8-00,"Obras de urbanização - ruas, praças e calçadas",Baixo,Médio,Alto
42.21-9-01,Construção de barragens e represas para geração de energia elétrica,Baixo,Médio,Alto
42.21-9-02,Construção de estações e redes de distribuição de energia elétrica,Baixo,Médio,Alto
42.21-9-03,Manutenção de redes de distribuição de energia elétrica,Baixo,Médio,Alto
42.21-9-04,Construção de estações e redes de telecomunicações,Baixo,Médio,Alto
42.21-9-05,Manutenção de estações e redes de telecomunicações,Baixo,Médio,Alto
42.22-7-01,"Construção de redes de abastecimento de água, coleta de esgoto e construções correlatas, exceto obras de irrigação",Baixo,Médio,Alto
42.22-7-02,Obras de irrigação,Baixo,Médio,Alto
42.23-5-00,"Construção de redes de transportes por dutos, exceto para água e esgoto",Baixo,Médio,Alto
42.91-0-00,"Obras portuárias, marítimas e fluviais",Baixo,Médio,Alto
42.92-8-01,Montagem de estruturas metálicas,Baixo,Médio,Alto
42.92-8-02,Obras de montagem industrial,Baixo,Médio,Alto
42.99-5-01,Construção de instalações esportivas e recreativas,Baixo,Médio,Alto
42.99-5-99,Outras obras de engenharia civil não especificadas anteriormente,Baixo,Médio,Alto
43.11-8-01,Demolição de edifícios e outras estruturas,Baixo,Médio,Alto
43.11-8-02,Preparação de canteiro e limpeza de terreno,Baixo,Médio,Alto
43.12-6-00,Perfurações e sondagens,Baixo,Médio,Alto
43.13-4-00,Obras de terraplenagem,Baixo,Médio,Alto
43.19-3-00,Serviços de preparação do terreno não especificados anteriormente,Baixo,Médio,Alto
43.21-5-00,Instalação e manutenção elétrica,Baixo,Médio,Alto
43.22-3-01,"Instalações hidráulicas, sanitárias e de gás",Baixo,Médio,Alto
43.22-3-02,"Instalação e manutenção de sistemas centrais de ar condicionado, de ventilação e refrigeração",Baixo,Médio,Alto
43.22-3-03,Instalações de sistema de prevenção contra incêndio,Baixo,Médio,Alto
43.29-1-01,Instalação de painéis publicitários,Baixo,Médio,Alto
43.29-1-02,"Instalação de equipamentos para orientação à navegação marítima, fluvial e lacustre",Baixo,Médio,Alto
43.29-1-03,"Instalação, manutenção e reparação de elevadores, escadas e esteiras rolantes",Baixo,Médio,Alto
43.29-1-04,"Montagem e instalação de sistemas e equipamentos de iluminação e sinalização em vias públicas, portos e aeroportos",Baixo,Médio,Alto
43.29-1-05,"Tratamentos térmicos, acústicos ou de vibração",Baixo,Médio,Alto
43.29-1-99,Outras obras de instalações em construções não especificadas anteriormente,Baixo,Médio,Alto
43.30-4-01,Impermeabilização em obras de engenharia civil,Baixo,Médio,Alto
43.30-4-02,"Instalação de portas, janelas, tetos, divisórias e armários embutidos de qualquer material",Baixo,Médio,Alto
43.30-4-03,Obras de acabamento em gesso e estuque,Baixo,Médio,Alto
43.30-4-04,Serviços de pintura de edifícios em geral,Baixo,Médio,Alto
43.30-4-05,Aplicação de revestimentos e de resinas em interiores e exteriores,Baixo,Médio,Alto
43.30-4-99,Outras obras de acabamento da construção,Baixo,Médio,Alto
43.91-6-00,Obras de fundações,Baixo,Médio,Alto
43.99-1-01,Administração de obras,Baixo,Médio,Alto
43.99-1-02,Montagem e desmontagem de andaimes e outras estruturas temporárias,Baixo,Médio,Alto
43.99-1-03,Obras de alvenaria,Baixo,Médio,Alto
43.99-1-04,Serviços de operação e fornecimento de equipamentos para transporte e elevação de cargas e pessoas para uso em obras,Baixo,Médio,Alto
43.99-1-05,Perfuração e construção de poços de água,Baixo,Médio,Alto
43.99-1-99,Serviços especializados para construção não especificados anteriormente,Baixo,Médio,Alto
45.11-1-01,"Comércio a varejo de automóveis, camionetas e utilitários novos",Médio,Médio,Alto
45.11-1-02,"Comércio a varejo de automóveis, camionetas e utilitários usados",Médio,Médio,Alto
45.11-1-03,"Comércio por atacado de automóveis, camionetas e utilitários novos e usados",Médio,Médio,Alto
45.11-1-04,Comércio por atacado de caminhões novos e usados,Médio,Médio,Alto
45.11-1-05,Comércio por atacado de reboques e semireboques novos e usados,Médio,Médio,Alto
45.11-1-06,Comércio por atacado de ônibus e micro-ônibus novos e usados,Médio,Médio,Alto
45.12-9-01,Representantes comerciais e agentes do comércio de veículos automotores,Baixo,Médio,Alto
45.12-9-02,Comércio sob consignação de veículos automotores,Médio,Médio,Alto
